n_F35,n_V22,n_AV8B,n_SH60,perc,w_fuel,w_veh
0,4,2,13,-0.425887658,1302.048924,178.25
0,4,2,14,-0.328349654,1335.246185,186.3
0,4,2,15,-0.230811649,1368.443447,194.35
0,4,2,16,-0.133273645,1401.640708,202.4
0,4,2,17,-0.03573564,1434.83797,210.45
0,4,2,18,0.061802364,1468.035231,218.5
0,4,2,19,0.159340369,1501.232493,226.55
0,4,2,20,0.256878373,1534.429754,234.6
0,4,2,21,0.354416378,1567.627016,242.65
0,4,2,22,0.451954382,1600.824277,250.7
0,4,3,10,-0.407741851,1327.132495,160.84
0,4,3,11,-0.310203847,1360.329757,168.89
0,4,3,12,-0.212665842,1393.527018,176.94
0,4,3,13,-0.115127838,1426.72428,184.99
0,4,3,14,-0.017589833,1459.921541,193.04
0,4,3,15,0.079948171,1493.118803,201.09
0,4,3,16,0.177486176,1526.316064,209.14
0,4,3,17,0.27502418,1559.513326,217.19
0,4,3,18,0.372562185,1592.710587,225.24
0,4,3,19,0.470100189,1625.907849,233.29
0,4,4,6,-0.487134049,1319.018805,135.38
0,4,4,7,-0.389596044,1352.216067,143.43
0,4,4,8,-0.29205804,1385.413328,151.48
0,4,4,9,-0.194520035,1418.61059,159.53
0,4,4,10,-0.096982031,1451.807851,167.58
0,4,4,11,0.000555974,1485.005113,175.63
0,4,4,12,0.098093978,1518.202374,183.68
0,4,4,13,0.195631983,1551.399636,191.73
0,4,4,14,0.293169988,1584.596897,199.78
0,4,4,15,0.390707992,1617.794159,207.83
0,4,4,16,0.488245997,1650.99142,215.88
0,4,5,3,-0.468988241,1344.102377,117.97
0,4,5,4,-0.371450237,1377.299638,126.02
0,4,5,5,-0.273912232,1410.4969,134.07
0,4,5,6,-0.176374228,1443.694161,142.12
0,4,5,7,-0.078836223,1476.891423,150.17
0,4,5,8,0.018701781,1510.088684,158.22
0,4,5,9,0.116239786,1543.285946,166.27
0,4,5,10,0.21377779,1576.483207,174.32
0,4,5,11,0.311315795,1609.680469,182.37
0,4,5,12,0.408853799,1642.87773,190.42
0,4,6,0,-0.450842434,1369.185948,100.56
0,4,6,1,-0.35330443,1402.38321,108.61
0,4,6,2,-0.255766425,1435.580471,116.66
0,4,6,3,-0.158228421,1468.777733,124.71
0,4,6,4,-0.060690416,1501.974994,132.76
0,4,6,5,0.036847588,1535.172256,140.81
0,4,6,6,0.134385593,1568.369517,148.86
0,4,6,7,0.231923597,1601.566779,156.91
0,4,6,8,0.329461602,1634.76404,164.96
0,4,6,9,0.426999606,1667.961302,173.01
0,4,7,0,-0.140082614,1493.861304,107.3
0,4,7,1,-0.042544609,1527.058566,115.35
0,4,7,2,0.054993395,1560.255827,123.4
0,4,7,3,0.1525314,1593.453089,131.45
0,4,7,4,0.250069404,1626.65035,139.5
0,4,7,5,0.347607409,1659.847612,147.55
